pais,anio,grupo_edad,sexo,causa,causa_grupo,q_media_posterior,q_mediana_posterior,q_li_95,q_ls_95
Belice,2015,20-24,Hombre,III,Enfermedades de la sangre y de los órganos hematopoyéticos y ciertos trastornos de la inmunidad,7.412891176536519e-6,1.9061902190633192e-7,4.83428561707246e-17,6.514769723408715e-5
Belice,2015,20-24,Hombre,IV,"Enfermedades endocrinas, nutricionales y metabólicas",1.2477723989237423e-5,1.8766358394407253e-6,5.283402060395701e-12,8.795131131877906e-5
Belice,2015,20-24,Hombre,IX,Enfermedades del sistema circulatorio,1.0031040290560746e-5,7.557264776092291e-7,5.679204763694478e-14,8.205588137452148e-5
Belice,2015,20-24,Hombre,V-VIII,"Trastornos mentales, enfermedades del sistema nervioso y de los órganos de los sentidos",1.781860212846182e-5,4.729553315465781e-6,4.6437476943831094e-10,1.0958304895899191e-4
Belice,2015,20-24,Hombre,X,Enfermedades del sistema respiratorio,6.760369812757804e-5,4.9976983823610134e-5,2.97782958847865e-6,2.3008248497578116e-4
Belice,2015,20-24,Hombre,XI,Enfermedades del sistema digestivo,7.524014322558846e-5,5.8506434936578586e-5,4.521561417983138e-6,2.3941512783944716e-4
Belice,2015,20-24,Hombre,XII,Enfermedades de la piel y del tejido subcutáneo,5.7079766844612746e-5,4.0139645369249344e-5,1.6164315612569688e-6,2.121422172358686e-4
Belice,2015,20-24,Hombre,XIII,Enfermedades del sistema osteomuscular y del tejido conjuntivo,1.1579780142393852e-5,4.6780119436961964e-6,3.96961535429387e-9,6.177679422740404e-5
Belice,2015,20-24,Hombre,XIV,Enfermedades del sistema genitourinario,9.137361139692914e-6,5.774444308037357e-7,1.5679662247909422e-14,7.36174629997969e-5
Belice,2015,20-24,Hombre,XVII,"Malformaciones congénitas, deformidades y anomalías cromosómicas",5.801646544447394e-6,1.1481900815250388e-7,1.0386843696923474e-18,5.1842199040473816e-5
Belice,2015,20-24,Hombre,XVIII,"Síntomas, signos y hallazgos anormales no clasificados en otra parte",4.435102910687338e-6,4.4623235121165625e-9,8.247418297614157e-26,4.6541872545002844e-5
Belice,2015,20-24,Hombre,XX,Causas externas de mortalidad,0.0015384054877371296,0.0015210306350382208,0.0010283125389782641,0.0021415869431167735
Belice,2015,20-24,Mujer,I,Enfermedades infecciosas y parasitarias,2.598373098490648e-4,2.4185112176342515e-4,8.31157283686102e-5,5.41796342415103e-4
Belice,2015,20-24,Mujer,II,Tumores,1.725546376259089e-5,4.5694955173043175e-6,3.5765888663733524e-10,1.0581882135961667e-4
Belice,2015,20-24,Mujer,III,Enfermedades de la sangre y de los órganos hematopoyéticos y ciertos trastornos de la inmunidad,7.116674169547521e-6,1.9449212165894103e-7,1.59674919245944e-17,6.36258289455409e-5
Belice,2015,20-24,Mujer,IV,"Enfermedades endocrinas, nutricionales y metabólicas",6.858267599063752e-5,5.172489340787224e-5,3.123550932510663e-6,2.3027372505787542e-4
Belice,2015,20-24,Mujer,IX,Enfermedades del sistema circulatorio,1.2294375082210686e-4,1.039285507875017e-4,1.742228910410854e-5,3.289109195094682e-4
Belice,2015,20-24,Mujer,V-VIII,"Trastornos mentales, enfermedades del sistema nervioso y de los órganos de los sentidos",7.268363437004492e-5,5.5042680296622135e-5,3.7914888594286753e-6,2.3501637651907409e-4
Belice,2015,20-24,Mujer,X,Enfermedades del sistema respiratorio,6.799638695500678e-5,5.022809047811951e-5,2.913420269059828e-6,2.2743821751845187e-4
Belice,2015,20-24,Mujer,XI,Enfermedades del sistema digestivo,2.1330424995606582e-5,7.5299873336868e-6,2.0895532754597336e-9,1.2205396370866447e-4
Belice,2015,20-24,Mujer,XII,Enfermedades de la piel y del tejido subcutáneo,1.6824049132129887e-6,4.958953204479213e-15,1.5352711479579237e-57,1.9671103291726926e-5
Belice,2015,20-24,Mujer,XIII,Enfermedades del sistema osteomuscular y del tejido conjuntivo,1.1894878175243707e-5,4.730882234421074e-6,4.027576056884923e-9,6.32628228323814e-5
Belice,2015,20-24,Mujer,XIV,Enfermedades del sistema genitourinario,9.377265703866973e-6,5.958482775408822e-7,9.832636984579334e-15,7.536023225761411e-5
Belice,2015,20-24,Mujer,XV,"Embarazo, parto y puerperio",1.518564400840072e-5,1.1215028940035491e-5,5.03329670808718e-7,5.337153221725469e-5
Belice,2015,20-24,Mujer,XVII,"Malformaciones congénitas, deformidades y anomalías cromosómicas",6.171278049172583e-6,9.933757618003363e-8,1.3768395577346709e-18,5.543909072509399e-5
Belice,2015,20-24,Mujer,XVIII,"Síntomas, signos y hallazgos anormales no clasificados en otra parte",4.503689496785972e-6,4.527923210439059e-9,1.2609184300294437e-26,4.826500954996631e-5
Belice,2015,20-24,Mujer,XX,Causas externas de mortalidad,2.69915969142682e-4,2.537774563704624e-4,8.666279746495231e-5,5.570641856498234e-4
Belice,2015,25-29,Hombre,I,Enfermedades infecciosas y parasitarias,2.236945894589275e-4,2.0450114580132408e-4,5.738430279314312e-5,4.986255515026644e-4
Belice,2015,25-29,Hombre,II,Tumores,8.208859052126366e-5,6.217106402878703e-5,4.136441962040107e-6,2.664159970241954e-4
Belice,2015,25-29,Hombre,III,Enfermedades de la sangre y de los órganos hematopoyéticos y ciertos trastornos de la inmunidad,7.947488511452e-6,1.9838997138019915e-7,1.0822586346335428e-17,6.877865470676814e-5
Belice,2015,25-29,Hombre,IV,"Enfermedades endocrinas, nutricionales y metabólicas",1.526292115210081e-5,2.334771477527817e-6,6.337736898976023e-12,1.0931598347909155e-4
Belice,2015,25-29,Hombre,IX,Enfermedades del sistema circulatorio,1.1408321421422972e-5,8.503404976438466e-7,2.997943161161646e-14,9.135499685329104e-5
Belice,2015,25-29,Hombre,V-VIII,"Trastornos mentales, enfermedades del sistema nervioso y de los órganos de los sentidos",7.875221448806583e-5,5.929917791743452e-5,4.304777425395348e-6,2.6181804685617474e-4
Belice,2015,25-29,Hombre,X,Enfermedades del sistema respiratorio,7.570843442669263e-5,5.554455311530149e-5,3.1753905419516174e-6,2.5759809853175843e-4
Belice,2015,25-29,Hombre,XI,Enfermedades del sistema digestivo,2.0637382504671913e-4,1.8606410007007375e-4,4.961877120501985e-5,4.7765411134011464e-4
Belice,2015,25-29,Hombre,XII,Enfermedades de la piel y del tejido subcutáneo,1.9032693061579739e-6,2.918678928054037e-15,3.677182343005877e-59,2.2173764452438464e-5
Belice,2015,25-29,Hombre,XIII,Enfermedades del sistema osteomuscular y del tejido conjuntivo,1.243239732836432e-5,4.711282008154548e-6,5.177671899135978e-9,6.60359772736504e-5
Belice,2015,25-29,Hombre,XIV,Enfermedades del sistema genitourinario,7.326229036529404e-5,5.368089542119596e-5,2.6856468720210254e-6,2.527328937111866e-4
Belice,2015,25-29,Hombre,XVII,"Malformaciones congénitas, deformidades y anomalías cromosómicas",6.879731358562206e-6,1.2479321309506317e-7,3.394946822943085e-18,6.296390740355709e-5
Belice,2015,25-29,Hombre,XVIII,"Síntomas, signos y hallazgos anormales no clasificados en otra parte",1.9193641061027438e-4,1.7162620205062458e-4,3.884957871248044e-5,4.566399740112199e-4
Belice,2015,25-29,Hombre,XX,Causas externas de mortalidad,0.0024274372777830853,0.0024039387858755647,0.0017496611806975951,0.003222674608295039
Belice,2015,25-29,Mujer,I,Enfermedades infecciosas y parasitarias,1.651967937700154e-4,1.4606267496372234e-4,3.186359993251168e-5,4.0504339615739243e-4
Belice,2015,25-29,Mujer,II,Tumores,8.162385393248881e-5,6.139596173556982e-5,4.468626640029071e-6,2.705126895429056e-4
Belice,2015,25-29,Mujer,III,Enfermedades de la sangre y de los órganos hematopoyéticos y ciertos trastornos de la inmunidad,6.68908827988476e-5,4.898810069603209e-5,2.555886480272885e-6,2.3486430092813253e-4
Belice,2015,25-29,Mujer,IV,"Enfermedades endocrinas, nutricionales y metabólicas",1.4091468265456887e-4,1.2130440702742221e-4,1.9395638750274505e-5,3.7802437528903913e-4
Belice,2015,25-29,Mujer,IX,Enfermedades del sistema circulatorio,1.9683460197333097e-4,1.7697051374364155e-4,4.1783949467121715e-5,4.598561687008101e-4
Belice,2015,25-29,Mujer,V-VIII,"Trastornos mentales, enfermedades del sistema nervioso y de los órganos de los sentidos",7.930791371831881e-5,5.988833535442483e-5,4.7491197028341035e-6,2.606035099723319e-4
Belice,2015,25-29,Mujer,X,Enfermedades del sistema respiratorio,1.3959033955469814e-4,1.1823173744865192e-4,1.8706227667050167e-5,3.767398688157606e-4
Belice,2015,25-29,Mujer,XI,Enfermedades del sistema digestivo,2.069704216500704e-4,1.8751039556021978e-4,4.8457491851175484e-5,4.78624770926752e-4
Belice,2015,25-29,Mujer,XII,Enfermedades de la piel y del tejido subcutáneo,1.8311043688798285e-6,2.2954532027701396e-15,1.2244988769581941e-59,2.2405027095095237e-5
Belice,2015,25-29,Mujer,XIII,Enfermedades del sistema osteomuscular y del tejido conjuntivo,7.04803417788807e-5,6.116872677818365e-5,1.127747934241593e-5,1.8343322566771663e-4
Belice,2015,25-29,Mujer,XIV,Enfermedades del sistema genitourinario,1.982992458936885e-4,1.7861730262872248e-4,4.243501609032878e-5,4.715085191085511e-4
Belice,2015,25-29,Mujer,XV,"Embarazo, parto y puerperio",1.57407460446188e-5,1.1156914537769675e-5,4.7462391409159143e-7,5.671920057837278e-5
Belice,2015,25-29,Mujer,XVII,"Malformaciones congénitas, deformidades y anomalías cromosómicas",6.196377469072207e-5,4.559622116025653e-5,2.233689211203855e-6,2.1773485505139948e-4
Belice,2015,25-29,Mujer,XVIII,"Síntomas, signos y hallazgos anormales no clasificados en otra parte",5.044709922755502e-6,4.4067398032391474e-9,8.345268595878556e-26,5.114669508936682e-5
Belice,2015,25-29,Mujer,XX,Causas externas de mortalidad,3.571605088655373e-4,3.379967221851693e-4,1.2778008584475882e-4,7.01297495112924e-4
Belice,2015,30-34,Hombre,I,Enfermedades infecciosas y parasitarias,8.833001463967559e-4,8.622697210928212e-4,4.665687727994996e-4,0.001421243060547096
Belice,2015,30-34,Hombre,II,Tumores,2.241545764786075e-5,5.8142535246142445e-6,4.675403857197237e-10,1.3612018748520322e-4
Belice,2015,30-34,Hombre,III,Enfermedades de la sangre y de los órganos hematopoyéticos y ciertos trastornos de la inmunidad,7.991795520911003e-5,5.799550603383353e-5,3.0021959404646703e-6,2.8036561698859035e-4
Belice,2015,30-34,Hombre,IV,"Enfermedades endocrinas, nutricionales y metabólicas",1.7002596741924345e-5,2.5188414189218154e-6,8.662711475079551e-12,1.246939580693303e-4
Belice,2015,30-34,Hombre,IX,Enfermedades del sistema circulatorio,1.5857010938703022e-4,1.36266099404366e-4,2.1957197734943443e-5,4.290274896382467e-4
Belice,2015,30-34,Hombre,V-VIII,"Trastornos mentales, enfermedades del sistema nervioso y de los órganos de los sentidos",2.3090988070749227e-4,2.0868631601799668e-4,5.342098249839591e-5,5.268422489598951e-4
Belice,2015,30-34,Hombre,X,Enfermedades del sistema respiratorio,1.6107915086839385e-4,1.3754658660356276e-4,2.315489302275073e-5,4.3672780322049753e-4
Belice,2015,30-34,Hombre,XI,Enfermedades del sistema digestivo,1.7046089718196012e-4,1.4730189091230613e-4,2.6857285968010828e-5,4.3881004668732456e-4
Belice,2015,30-34,Hombre,XII,Enfermedades de la piel y del tejido subcutáneo,2.2599900626494415e-6,4.150755804671121e-15,1.725052746927259e-57,2.5626225990451384e-5
Belice,2015,30-34,Hombre,XIII,Enfermedades del sistema osteomuscular y del tejido conjuntivo,1.3372501447626945e-5,5.235737560827954e-6,3.826302030271551e-9,7.099815356696194e-5
Belice,2015,30-34,Hombre,XIV,Enfermedades del sistema genitourinario,1.2017939248027817e-5,7.882760968563292e-7,2.4831543460427723e-14,9.701894921239775e-5
Belice,2015,30-34,Hombre,XVII,"Malformaciones congénitas, deformidades y anomalías cromosómicas",8.05871942241938e-6,1.5997661905219406e-7,4.779090717114233e-18,7.348031730337006e-5
Belice,2015,30-34,Hombre,XVIII,"Síntomas, signos y hallazgos anormales no clasificados en otra parte",7.879411531276755e-5,5.689356567708453e-5,2.70012632384962e-6,2.836371628225093e-4
