pais,anio,grupo_edad,sexo,causa,causa_grupo,q_c
Belice,2015,25-29,Hombre,III,Enfermedades de la sangre y de los órganos hematopoyéticos y ciertos trastornos de la inmunidad,7.947488511452e-6
Belice,2015,25-29,Hombre,IV,"Enfermedades endocrinas, nutricionales y metabólicas",1.526292115210081e-5
Belice,2015,25-29,Hombre,IX,Enfermedades del sistema circulatorio,1.1408321421422972e-5
Belice,2015,25-29,Hombre,V-VIII,"Trastornos mentales, enfermedades del sistema nervioso y de los órganos de los sentidos",7.875221448806583e-5
Belice,2015,25-29,Hombre,X,Enfermedades del sistema respiratorio,7.570843442669263e-5
Belice,2015,25-29,Hombre,XI,Enfermedades del sistema digestivo,2.0637382504671913e-4
Belice,2015,25-29,Hombre,XII,Enfermedades de la piel y del tejido subcutáneo,1.9032693061579739e-6
Belice,2015,25-29,Hombre,XIII,Enfermedades del sistema osteomuscular y del tejido conjuntivo,1.243239732836432e-5
Belice,2015,25-29,Hombre,XIV,Enfermedades del sistema genitourinario,7.326229036529404e-5
Belice,2015,25-29,Hombre,XVII,"Malformaciones congénitas, deformidades y anomalías cromosómicas",6.879731358562206e-6
Belice,2015,25-29,Hombre,XVIII,"Síntomas, signos y hallazgos anormales no clasificados en otra parte",1.9193641061027438e-4
Belice,2015,25-29,Hombre,XX,Causas externas de mortalidad,0.0024274372777830853
Belice,2015,25-29,Mujer,I,Enfermedades infecciosas y parasitarias,1.651967937700154e-4
Belice,2015,25-29,Mujer,II,Tumores,8.162385393248881e-5
Belice,2015,25-29,Mujer,III,Enfermedades de la sangre y de los órganos hematopoyéticos y ciertos trastornos de la inmunidad,6.68908827988476e-5
Belice,2015,25-29,Mujer,IV,"Enfermedades endocrinas, nutricionales y metabólicas",1.4091468265456887e-4
Belice,2015,25-29,Mujer,IX,Enfermedades del sistema circulatorio,1.9683460197333097e-4
Belice,2015,25-29,Mujer,V-VIII,"Trastornos mentales, enfermedades del sistema nervioso y de los órganos de los sentidos",7.930791371831881e-5
Belice,2015,25-29,Mujer,X,Enfermedades del sistema respiratorio,1.3959033955469814e-4
Belice,2015,25-29,Mujer,XI,Enfermedades del sistema digestivo,2.069704216500704e-4
Belice,2015,25-29,Mujer,XII,Enfermedades de la piel y del tejido subcutáneo,1.8311043688798285e-6
Belice,2015,25-29,Mujer,XIII,Enfermedades del sistema osteomuscular y del tejido conjuntivo,7.04803417788807e-5
Belice,2015,25-29,Mujer,XIV,Enfermedades del sistema genitourinario,1.982992458936885e-4
Belice,2015,25-29,Mujer,XV,"Embarazo, parto y puerperio",1.57407460446188e-5
Belice,2015,25-29,Mujer,XVII,"Malformaciones congénitas, deformidades y anomalías cromosómicas",6.196377469072207e-5
Belice,2015,25-29,Mujer,XVIII,"Síntomas, signos y hallazgos anormales no clasificados en otra parte",5.044709922755502e-6
Belice,2015,25-29,Mujer,XX,Causas externas de mortalidad,3.571605088655373e-4
Belice,2015,30-34,Hombre,I,Enfermedades infecciosas y parasitarias,8.833001463967559e-4
Belice,2015,30-34,Hombre,II,Tumores,2.241545764786075e-5
Belice,2015,30-34,Hombre,III,Enfermedades de la sangre y de los órganos hematopoyéticos y ciertos trastornos de la inmunidad,7.991795520911003e-5
Belice,2015,30-34,Hombre,IV,"Enfermedades endocrinas, nutricionales y metabólicas",1.7002596741924345e-5
